,title,type,date,ID,clearname,fullID
V18910830SAr,Hilsen i Sigrid Arnoldsons stambok,greeting,1891-08-30,SAr,N/A,N/A
V18911003HSto,Hilsen i Hedvig Stouslands minnebok,greeting,1891-10-03,HSto,HEDVIG (ved dåpen Hedevig Cathrine) f. Ibsen STOUSLAND,peHSto
V18911020NN,Hilsen til ukjent på fotografi,greeting,1891-10-20,NN,N/A,N/A
V18911117WS,Hilsen til Wilhelmine Schønberg på fotografi,greeting,1891-11-17,WS,WILHELMINE SCHØNBERG,peWS
V18911228IC,Hilsen til Illa Christensen på fotografi,greeting,1891-12-28,IC,N/A,N/A
Vudat1891SK,Hilsen (i Susannas hånd) til Sophie Krohn på baksiden av fotografi,greeting,1891,SK,SOPHIE f. Cappelen KROHN,peSK
V18920505HA,Konvolutt med påskrift i konvolutt til Hildur Andersen,greeting,1892-05-05,HA,HILDUR ANDERSEN,peHA
V18920628HA,Konvolutt med påskrift i konvolutt til Hildur Andersen,greeting,1892-06-28,HA,HILDUR ANDERSEN,peHA
V18920830GBa,Hilsen til Granville Bantock på fotografi,greeting,1892-08-30,GBa,N/A,N/A
V18921125RHo,Dedikasjon til Rikke Holst i Terje Vigen,dedication,1892-11-25,RHo,RIKKE (Henrikke) HOLST/TRESSELT,peRHo
V18921213MF,Dedikasjon til Magdalena Falsen i Bygmester Solness,dedication,1892-12-13,MF,MAGDALENA FALSEN,peMF
